〇	zero	líng
缎带	ribbon	duàn dài
缎纹	satin weave	duàn wén
缏	braid	biàn
缒	let down with a rope	zhuì
缓	slow	huǎn
缓兵之计	delaying tactics	huǎn bīng zhī jì
缓冲	buffer	huǎn chōng
缓冲器	buffer	huǎn chōng qì
缓冲器	buffer	huǎn chōng qì
缓刑	reprieve	huǎn xíng
缓刑令	reprieve	huǎn xíng lìng
缓刑令	reprieve	huǎn xíng 令
缓办	postpone	huǎn bàn
缓和	to alleviate	huǎn hé
缓慢	slow	huǎn màn
缓步	stroll	huǎn bù
缓缓	slowly/little by little	huǎn huǎn
缓解	to ease	huǎn jiě
缔	closely joined/connect	dì
缔约	conclude a treaty	dì yuē
缔结	to conclude/conclude	dì jié
缔造	found/create/to found	dì zào
缔造者	founder	dì zào zhě
缔造者	founder	dì zào zhě
缔造者	founder	dì zào zhě
缕	detailed	lǚ
编	compile	biān
编修	compile	biān xiū
编写	compile/to compile	biān xiě
编制	to compile	biān zhì
编剧	to write a play	biān jù
编印	compile and print/publish	biān yìn
编号	serial number/number	biān hào
编导	write and direct	biān dǎo
编年体	annalistic style	biān nián tǐ
编年体	annalistic style	biān nián tǐ
编年史	annals/chronicle	biān nián shǐ
编年史	annals/chronicle	biān nián shǐ
编排	to arrange	biān pái
编撰	to edit	biān zhuàn
编曲	compose (music)	biān qǔ
编次	order of arrangement	biān cì
编班考试	placement test	biān bān kǎo shì
编目	make a catalogue	biān mù
编码字符集	coded character set	biān mǎ zì fú jí
编程	programming/to program	biān chéng
编程语言	programming language	biān chéng yǔ yán
编纂	compile	biān zuǎn
编组	organize into groups	biān zǔ
编织	braid	biān zhī
编者	editor/compiler	biān zhě
编者	editor/compiler	biān zhě
编者	editor/compiler	biān zhě
编舞	choreograph	biān wǔ
编著	compile/write/to compile	biān zhù
编著	compile/write/to compile	biān zhù
编译	translate and edit	biān yì
编译器	compiler	biān yì qì
编译器	compiler	biān yì qì
编辑	compile	biān jí
编辑室	editorial office	biān jí shì
编选	compile/select and edit	biān xuǎn
编造	compile/fabricate/draw up	biān zào
编队	form into columns	biān duì
缗	cord	mín
缘	hem	yuán
缘何	why?/for what reason	yuán hé
缘分	predestined affinity	yuán fèn
缘故	reason	yuán gù
缘由	reason	yuán yóu
缘起	origin	yuán qǐ
缘饰	fringe	yuán shì
缙	red silk	jìn
缙云	Jinyun	jìn yún
缛	adorned	rù
缜密	meticulous/careful/deliberate	zhěn mì
缝	sew	féng
缝合	suture/sew up	féng hé
缝子	crevice/crack	fèng zi
缝纫	sew/tailor	féng rèn
缝纫机	sewing machine	féng rèn jī
缝线	suture	féng xiàn
缝缀	patch	féng zhuì
缝衣匠	tailor	féng yī jiàng
缝补	sew and mend	féng bǔ
缝针	needle	féng zhēn
缝隙	chink	fèng xì
缟	plain white silk	gǎo
缟玛瑙	onyx	gǎo mǎ nǎo
缠	tangle	chán
缠丝玛瑙	sardonyx	chán sī mǎ nǎo
缠住	wrap up	chán zhù
缠手	troublesome/hard to deal with	chán shǒu
缠扰	harass	chán rǎo
缠斗	dogfight	chán dòu
缠绕	to wind/twine/wind	chán rào
缠绕植物	twiner	chán rào zhí wù
缠绕茎	twining stem	chán rào jīng
缠绵	touching	chán mián
缠身	preoccupy	chán shēn
缡	bridal veil/bridal veil or kerchief	lí
缢	hang	yì
缢杀	strangle to death	yì shā
缢死	hang oneself	yì sǐ
缢颈	hang oneself	yì jǐng
缣	thick waterproof silk	jiān
缤纷	in riotous profusion	bīn fēn
缥	misty	piāo
缦	plain thin silk	màn
缧	bind	léi
缨	tassel/ribbon	yīng
缩	to withdraw	suō
缩写	abbreviation/abridge	suō xiě
缩减	cut/reduce/to cut	suō jiǎn
缩印品	miniprint	suō yìn pǐn
缩小	reduce/shrink/to reduce	suō xiǎo
缩小模型	miniature	suō xiǎo mó xíng
缩影	miniature/epitome/microcosm	suō yǐng
缩微平片	microfiche	suō wēi píng piàn
缩成	shrink into	suō chéng
缩成一团	huddle together/curl up	suō chéng yī tuán
缩氨酸	peptide	suō ān suān
缩水	to shrink	suō shuǐ
缩略	abbreviation/abbreviate	suō lüè
缩略	abbreviation/abbreviate	suō lüè
缩略语	acronym	suō lüè yǔ
缩略语	acronym	suō lüè yǔ
缩短	to curtail	suō duǎn
缩约	contraction	suō yuē
缪	to wind round	miào
缫	reel silk from cocoons	sāo
缬	knot	xié
缭	sew with slanting stitches	liáo
缭绕	curl up	liáo rào
缮	mend/repair	shàn
缯	silk fabrics/bind/to tie	zēng
缰	reins/bridle/halter	jiāng
缰绳	rein/reins	jiāng shéng
缱	attached to	qiǎn
缳	bind	huán
缳首	death by hanging	huán shǒu
缴	hand in	jiǎo
缴付	to pay	jiǎo fù
缴械	disarm	jiǎo xiè
缴纳	to pay	jiǎo nà
缴获	capture/seize	jiǎo huò
缴费	to pay a fee	jiǎo fèi
缵	carry on	zuǎn
缶	pottery	fǒu
缸	jar/vat	gāng
缺	lack/to run short of	quē
缺乏	to lack	quē fá
缺口	gap	quē kǒu
缺嘴	harelip	quē zuǐ
缺失	deficiency/shortcoming/hiatus	quē shī
缺少	lack/be short of	quē shǎo
缺席	absent/absence	quē xí
缺德	wicked/mean	quē dé
缺德事	wicked deed	quē dé shì
缺德鬼	public nuisance	quē dé guǐ
缺氧症	anoxia	quē yǎng zhèng
缺水	run out of water	quē shuǐ
缺点	weak point/shortcoming	quē diǎn
缺省	default	quē shěng
缺省	default	quē shěng
缺粮	lack food supplies	quē liáng
缺糧	lack food supplies	quē liáng
缺糧	lack food supplies	quē liáng
缺陷	flaw/defect	quē xiàn
缺額	vacancy	quē é
缺额	vacancy	quē é
缺點	weak point/shortcoming	quē diǎn
缽盂	alms bowl	bō yú
缽頭	earthen bowl	bō tóu
罂	earthen jar with small mouth	yīng
罂粟	poppy	yīng sù
罂粟花	poppy flower	yīng sù huā
罄	empty	qìng
罄匮	used-up/exhausted	qìng kuì
罄匱	used-up/exhausted	qìng kuì
罄尽	use up	qìng jìn
罄然	well disciplined	qìng rán
罄盡	use up	qìng jìn
罄身	nudity/nakedness	qìng shēn
罅	crack	xià
罌	earthen jar with small mouth	yīng
罌粟	poppy	yīng sù
罌粟花	poppy flower	yīng sù huā
罐	jar/can	guàn
罐头	can	guàn tou
罐子	pitcher	guàn zi
罐装	canned	guàn zhuāng
罐裝	canned	guàn zhuāng
罐頭	can	guàn tou
网	net	wǎng
网上	online	wǎng shàng
网关	gateway	wǎng guān
网吧	Internet café	wǎng bā
网址	website	wǎng zhǐ
网子	net	wǎng zi
网孔	mesh	wǎng kǒng
网志	blog	wǎng zhì
网易	NetEase	wǎng yì
网易	NetEase	wǎng yì
网杓	skimmer	wǎng sháo
网架	rack	wǎng jià
网格	lattice/grid	wǎng gé
网段	network segment	wǎng duàn
网民	netizen	wǎng mín
网游	online game	wǎng yóu
网点	node	wǎng diǎn
网状脉	stockwork	wǎng zhuàng mài
网球	tennis	wǎng qiú
网球场	tennis court	wǎng qiú chǎng
网球赛	tennis competition/tennis match	wǎng qiú sài
网眼	mesh	wǎng yǎn
网站	website	wǎng zhàn
网管	webmaster	wǎng guǎn
网管员	network manager	wǎng guǎn yuán
网管接口	network management interface	wǎng guǎn jiē kǒu
网管系统	network management	wǎng guǎn xì tǒng
网络	network	wǎng luò
网络化	network	wǎng luò huà
网络协议	network protocol	wǎng luò xié yì
网络层	network layer	wǎng luò céng
网络层协议	network layer protocol	wǎng luò céng xié yì
网络广告	online advertising	wǎng luò guǎng gào
网络应用	network application	wǎng luò yìng yòng
网络打印机	network printer	wǎng luò dǎ yìn jī
网络技术	network technology	wǎng luò jì shù
网络操作系统	network operating system	wǎng luò cāo zuò xì tǒng
网络浏览器	network browser	wǎng luò liú lǎn qì
网络浏览器	network browser	wǎng luò liú lǎn qì
网络环境	network environment	wǎng luò huán jìng
网络直径	network diameter	wǎng luò zhí jìng
网络直径	network diameter	wǎng luò zhí jìng
网络科技	network technology	wǎng luò kē jì
网络空间	cyberspace	wǎng luò kōng jiān
网络管理	network management	wǎng luò guǎn lǐ
网络管理	network management	wǎng luò guǎn lǐ
网络管理员	network administrator	wǎng luò guǎn lǐ yuán
网络管理员	network administrator	wǎng luò guǎn lǐ yuán
网络管理系统	network management system	wǎng luò guǎn lǐ xì tǒng
网络管理系统	network management system	wǎng luò guǎn lǐ xì tǒng
网络规划人员	network planner	wǎng luò guī huà rén yuán
网络设备	network equipment	wǎng luò shè bèi
网络设计	network design	wǎng luò shè jì
网络迁移	network migration	wǎng luò qiān yí
网罗	net	wǎng luó
网膜	retina	wǎng mó
网袋	string bag	wǎng dài
网路	network	wǎng lù
网路	network	wǎng lù
网路作业系统	network operating system	wǎng lù zuò yè xì tǒng
网路作业系统	network operating system	wǎng lù zuò yè xì tǒng
网路平台	network platform	wǎng lù píng tái
网路平台	network platform	wǎng lù píng tái
网路应用	network application	wǎng lù yìng yòng
网路应用	network application	wǎng lù yìng yòng
网路服务	network service	wǎng lù fú wù
网路服务	network service	wǎng lù fú wù
网路架构	network infrastructure	wǎng lù jià gòu
网路架构	network infrastructure	wǎng lù jià gòu
网路环境	network environment	wǎng lù huán jìng
网路环境	network environment	wǎng lù huán jìng
网路节点	network node	wǎng lù jié diǎn
网路节点	network node	wǎng lù jié diǎn
网路节点介面	network node interface	wǎng lù jié diǎn jiè miàn
网路节点介面	network node interface	wǎng lù jié diǎn jiè miàn
网银	online bank	wǎng yín
网际	Internet	wǎng jì
网际电话	Internet phone	wǎng jì diàn huà
网际网络	Internet	wǎng jì wǎng luò
网际网路	Internet	wǎng jì wǎng lù
网际网路	Internet	wǎng jì wǎng lù
网际网路协会	Internet Society	wǎng jì wǎng lù xié huì
网际网路协会	Internet Society	wǎng jì wǎng 路 xié huì
网际色情	cyberporn	wǎng jì sè qíng
网页	web page	wǎng yè
网页地址	URL/web address	wǎng yè dì zhǐ
罔	deceive	wǎng
罕	rare	hǎn
罕有	rarely have/rare	hǎn yǒu
罕見	rare/rarely seen	hǎn jiàn
罕見	rare/rarely seen	hǎn jiàn
罕见	rare/rarely seen	hǎn jiàn
罗	collect/sift/to collect	luó
罗伊	Roy	luó yī
罗伯斯庇尔	Robespierre	luó bó sī bì ěr
罗伯特	Robert	luó bó tè
罗伯茨	Roberts	luó bó cí
罗伯逊	Robertson	luó bó xùn
罗克汉普顿	Rockhampton	luó kè hàn pǔ dùn
罗克韦尔	Rockwell	luó kè wéi ěr
罗兰	Roland	luó lán
罗切斯特	Rochester	luó qiē sī tè
罗切斯特	Rochester	luó qiē sī tè
罗列	to spread out	luó liè
罗列	to spread out	luó liè
罗利	Raleigh	luó lì
罗利	Raleigh	luó lì
罗刹	demon	luó chà
罗南	Ronan	luó nán
罗嘉良	Gallen Lo	luó jiā liáng
罗嘉良	Gallen Lo	luó jiā liáng
罗塔岛	Rota	luó tǎ dǎo
罗塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
罗塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
罗塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
罗安达	Luanda	luó ān dá
罗宋汤	borsch	luó sòng tāng
罗定	Luoding	luó dìng
罗定市	Luoding	luó dìng shì
罗宾汉	Robin Hood	luó bīn hàn
罗宾逊	Robinson	luó bīn xùn
罗密欧	Romeo	luó mì ōu
罗密欧与朱丽叶	Romeo and Juliet	luó mì ōu yǔ zhū lì yè
罗山	Luoshan	luó shān
罗布泊	Lop Nor	luó bù pō
罗平	Luoping	luó píng
罗彻斯特	Rochester	luó chè sī tè
罗得	Lot	luó dé
罗得岛	Rhodes/Rhode Island	luó dé dǎo
罗得西亚	Rhodesia	luó dé xī yà
罗德岛	Rhode Island	luó dé dǎo
罗德里戈	Rodrigo	luó dé lǐ gē
罗德里戈	Rodrigo	luó dé 里 gē
罗托鲁瓦	Rotorua	luó tuō lǔ wǎ
罗拉	roller	luó lā
罗拉	roller	luó lā
罗斯托夫	Rostov	luó sī tuō fū
罗斯玛丽	Rosemary	luó sī mǎ lì
罗斯福	Roosevelt	luó sī fú
罗斯福	Roosevelt	luó sī fú
罗斯金	Ruskin	luó sī jīn
罗斯金	Ruskin	luó sī 金
罗普斯	Rops	luó pǔ sī
罗曼	Roman	luó màn
罗曼司	romance	luó màn sī
罗曼蒂克	romantic	luó màn dì kè
罗望子	tamarind	luó wàng zǐ
罗望子	tamarind	luó wàng zǐ
罗杰	Roger	luó jié
罗杰斯	Rogers	luó jié sī
罗杰森	Rogerson	luó jié sēn
罗森布拉特	Rosenblat	luó sēn bù lā tè
罗森布拉特	Rosenblat	luó sēn bù 拉 tè
罗森菲尔德	Rosenfeld	luó sēn fēi ěr dé
罗森鲍姆	Rosenbaum	luó sēn bào mǔ
罗氏	Roche	luó shì
罗汉病	snail fever	luó hàn bìng
罗汉豆	broad bean	luó hàn dòu
罗源	Luoyuan	luó yuán
罗琳	Rowling	luó lín
罗瑟拉姆	Rotherham	luó sè lā mǔ
罗瑟拉姆	Rotherham	luó sè 拉 mǔ
罗田	Luotian	luó tián
罗甸	Luodian	luó diàn
罗盘	compass	luó pán
罗素	Russell	luó sù
罗纳尔多	Ronaldo	luó nà ěr duō
罗纹机	ribber	luó wén jī
罗缎	faille	luó duàn
罗网	net	luó wǎng
罗致	gather together	luó zhì
罗荣桓	Luo Ronghuan	luó róng huán
罗莎	Rosa	luó shā
罗西塔	Rosita	luó xī tǎ
罗马	Rome	luó mǎ
罗马书	Romans	luó mǎ shū
罗马尼亚	Romania	luó mǎ ní yà
罗马尼亚人	Romanian	luó mǎ ní yà rén
罗马尼亚语	Romanian	luó mǎ ní yà yǔ
罗马数字	Roman numeral	luó mǎ shù zì
罗马法	Roman law	luó mǎ fǎ
罗马诺	Romano	luó mǎ nuò
罗默	Romer	luó mò
罘	place name	fú
罚	penalize/punish/to punish	fá
罚俸	forfeit one's salary	fá fèng
罚单	violation ticket	fá dān
罚款	penalty/fine	fá kuǎn
罚球	penalty shot	fá qiú
罚跪	punish by protracted kneeling	fá guì
罚酒	to drink as the result of having lost a bet	fá jiǔ
罚金	fine/forfeit/to forfeit	fá jīn
罚金	fine/forfeit/to forfeit	fá jīn
罚钱	fine	fá qián
罟	implicate	gǔ
罡	stars	gāng
罢	cease/to stop	bà
罢休	give up	bà xiū
罢免	to dismiss	bà miǎn
罢免	to dismiss	bà miǎn
罢官	dismiss from office	bà guān
罢工	a strike	bà gōng
罢手	give up	bà shǒu
罢论	abandoned idea	bà lùn
罢黜	reject/dismiss from office	bà chù
罨	foment	yǎn
罩	cover/shade	zhào
罩子	casing/cover	zhào zi
罩衣	overalls	zhào yī
罩衫	smock	zhào shān
罩袍	overalls	zhào páo
罪	guilt/sin/crime	zuì
罪人	sinner	zuì rén
罪名	accusation/criminal charge	zuì míng
罪孽	sin/wrongdoing	zuì niè
罪恶	sin/evil/crime	zuì è
罪惡	sin/evil/crime	zuì è
罪惡	sin/evil/crime	zuì è
罪愆	offense/sin	zuì qiān
罪犯	criminal	zuì fàn
罪犯	criminal	zuì fàn
罪行	crime	zuì xíng
罪行	crime	zuì xíng
罪责	guilt	zuì zé
罪过	offense/sin	zuì guo
罪過	offense/sin	zuì guo
罪魁	chief culprit	zuì kuí
置	put	zhì
置之不理	ignore/to ignore/brush aside	zhì zhī bù lǐ
置之不理	ignore/to ignore/brush aside	zhì zhī bù lǐ
置之不理	ignore/to ignore/brush aside	zhì zhī bù lǐ
置之度外	disregard	zhì zhī dù wài
置之度外	disregard	zhì zhī dù wài
置于	place	zhì yú
置信	believe	zhì xìn
置办	purchase/buy	zhì bàn
置换	replace/permute/displace	zhì huàn
置換	replace/permute/displace	zhì huàn
置放	put	zhì fàng
置於	at/place	zhì yú
置疑	doubt	zhì yí
置評	comment	zhì píng
置评	comment	zhì píng
置身	stay/place	zhì shēn
置辦	purchase/buy	zhì bàn
置閏	intercalate	zhì rùn
置闰	intercalate	zhì rùn
罰	penalize/punish/to punish	fá
罰俸	forfeit one's salary	fá fèng
罰單	violation ticket	fá dān
罰款	penalty/fine	fá kuǎn
罰球	penalty shot	fá qiú
罰跪	punish by protracted kneeling	fá guì
罰酒	to drink as the result of having lost a bet	fá jiǔ
罰金	fine/forfeit/to forfeit	fá jīn
罰金	fine/forfeit/to forfeit	fá jīn
罰錢	fine	fá qián
署	office	shǔ
署	office	shǔ
署名	to sign	shǔ míng
署名	to sign	shǔ míng
署理	act as deputy	shǔ lǐ
署理	act as deputy	署 lǐ
署理	act as deputy	shǔ 理
罴	brown bear	pí
罴虎	fierce animals	pí hǔ
罵	to curse	mà
罵名	infamy	mà míng
罵罵咧咧	be foul-mouthed	mà ma liē liē
罷	cease/to stop	bà
罷休	give up	bà xiū
罷免	to dismiss	bà miǎn
罷免	to dismiss	bà miǎn
罷官	dismiss from office	bà guān
罷工	a strike	bà gōng
罷手	give up	bà shǒu
罷論	abandoned idea	bà lùn
罷論	abandoned idea	bà lùn
罷黜	reject/dismiss from office	bà chù
罹难者	victim	lí nàn zhě
罹难者	victim	罹 nán zhě
罹难者	victim	lí nàn 者
罹难者	victim	lí nàn 者
罾	large square net	zēng
羁	halter	jī
羁押	take into custody/to detain/detain	jī yā
羁旅	live abroad	jī lǚ
羁旅	live abroad	jī lǚ
羁留	stay	jī liú
羁留	stay	jī liú
羁绊	hinder	jī bàn
羅	collect/sift/to collect	luó
羅	collect/sift/to collect	luó
羅伊	Roy	luó yī
羅伊	Roy	羅 yī
羅伯斯庇爾	Robespierre	luó bó sī bì ěr
羅伯斯庇爾	Robespierre	luó bó sī bì ěr
羅伯特	Robert	luó bó tè
羅伯特	Robert	luó bó tè
羅伯茨	Roberts	luó bó cí
羅伯茨	Roberts	luó bó cí
羅伯遜	Robertson	luó bó xùn
羅伯遜	Robertson	luó bó xùn
羅傑	Roger	luó jié
羅傑	Roger	luó jié
羅傑斯	Rogers	luó jié sī
羅傑斯	Rogers	luó jié sī
羅克漢普頓	Rockhampton	luó kè hàn pǔ dùn
羅克漢普頓	Rockhampton	luó kè 漢 pǔ dùn
羅克漢普頓	Rockhampton	luó kè 漢 pǔ dùn
羅克漢普頓	Rockhampton	羅 kè hàn pǔ dùn
羅切斯特	Rochester	luó qiē sī tè
羅切斯特	Rochester	luó qiē sī tè
羅切斯特	Rochester	luó qiē sī tè
羅列	to spread out	luó liè
羅列	to spread out	luó liè
羅列	to spread out	luó liè
羅利	Raleigh	luó lì
羅利	Raleigh	luó lì
羅利	Raleigh	luó lì
羅剎	demon	luó chà
羅剎	demon	luó chà
羅嘉良	Gallen Lo	luó jiā liáng
羅嘉良	Gallen Lo	luó jiā liáng
羅嘉良	Gallen Lo	luó jiā liáng
羅塔島	Rota	luó tǎ dǎo
羅塔島	Rota	羅 tǎ dǎo
羅塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
羅塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
羅塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
羅塞塔石碑	Rosetta Stone	luó sài tǎ shí bēi
羅安達	Luanda	luó ān dá
羅安達	Luanda	luó ān dá
羅宋湯	borsch	luó sòng tāng
羅宋湯	borsch	luó sòng tāng
羅定	Luoding	luó dìng
羅定	Luoding	luó dìng
羅定市	Luoding	luó dìng shì
羅定市	Luoding	luó dìng shì
羅密歐	Romeo	luó mì ōu
羅密歐	Romeo	luó mì ōu
羅山	Luoshan	luó shān
羅山	Luoshan	luó shān
羅布泊	Lop Nor	luó bù pō
